sis_habilitado,precio,cuota_mes12,cuota_mes24,cuota_mes36,cuota_mes48,cuota_mes60,cuota_mes72,cuota_mes84,modelo,inscripcion,
A,6000,594,298,199,150,120,101,87,Plan Auto 6000,300,1
A,7000,693,348,232,175,140,117,101,Plan Auto 7000,350,2
A,8000,792,397,265,199,160,134,115,Plan Auto 8000,400,3
A,9000,891,446,298,224,180,150,129,Plan Auto 9000,450,4
A,10000,989,496,331,249,199,167,143,Plan Auto 10000,500,5
A,11000,1088,545,364,274,219,183,157,Plan Auto 11000,550,6
A,12000,1187,594,397,298,239,199,171,Plan Auto 12000,600,7
A,13000,1286,644,430,323,259,216,185,Plan Auto 13000,650,8
A,14000,1384,693,463,348,278,232,199,Plan Auto 14000,700,9
A,15000,1483,743,496,372,298,249,214,Plan Auto 15000,750,10
A,16000,1582,792,529,397,318,265,228,Plan Auto 16000,800,11
A,17000,1680,841,561,422,338,282,242,Plan Auto 17000,850,12
A,18000,1779,891,594,446,357,298,256,Plan Auto 18000,900,13
A,19000,1878,940,627,471,377,315,270,Plan Auto 19000,950,14
A,20000,1977,989,660,496,397,331,284,Plan Auto 20000,1000,15
A,21000,2075,1039,693,520,417,348,298,Plan Auto 21000,1050,16
A,22000,2174,1088,726,545,436,364,312,Plan Auto 22000,1100,17
A,23000,2273,1137,759,570,456,380,326,Plan Auto 23000,1150,18
A,24000,2372,1187,792,594,476,397,341,Plan Auto 24000,1200,19
A,25000,2470,1236,825,619,496,413,355,Plan Auto 25000,1250,20
A,26000,2569,1286,858,644,515,430,369,Plan Auto 26000,1300,21
A,27000,2668,1335,891,668,535,446,383,Plan Auto 27000,1350,22
A,28000,2767,1384,924,693,555,463,397,Plan Auto 28000,1400,23
A,29000,2865,1434,956,718,575,479,411,Plan Auto 29000,1450,24
A,30000,2964,1483,989,743,594,496,425,Plan Auto 30000,1500,25
A,31000,3063,1532,1022,767,614,512,439,Plan Auto 31000,1550,26
A,32000,3161,1582,1055,792,634,529,453,Plan Auto 32000,1600,27
A,33000,3260,1631,1088,817,654,545,467,Plan Auto 33000,1650,28
A,34000,3359,1680,1121,841,673,561,482,Plan Auto 34000,1700,29
A,35000,3458,1730,1154,866,693,578,496,Plan Auto 35000,1750,30
A,3000,364,183,123,,,,,Plan Moto 3000,150,31
A,4000,485,243,163,,,,,Plan Moto 4000,200,32
A,5000,605,304,203,,,,,Plan Moto 5000,250,33
A,6000,,291,208,166,141,125,107,Pronti Plan 6000,300,34
A,7000,,339,242,194,164,145,125,Pronti Plan 7000,350,35
A,8000,,388,276,221,188,165,142,Pronti Plan 8000,400,36
A,9000,,436,311,248,211,186,160,Pronti Plan 9000,450,37
A,10000,,484,345,276,234,206,177,Pronti Plan 10000,500,38
A,11000,,532,379,303,257,227,195,Pronti Plan 11000,550,39
A,12000,,580,414,330,280,247,212,Pronti Plan 12000,600,40
A,13000,,629,448,358,304,267,230,Pronti Plan 13000,650,41
A,14000,,677,482,385,327,288,247,Pronti Plan 14000,700,42
A,15000,,725,517,413,350,308,265,Pronti Plan 15000,750,43
A,16000,,773,551,440,373,329,282,Pronti Plan 16000,800,44
A,17000,,821,585,467,396,349,300,Pronti Plan 17000,850,45
A,18000,,870,620,495,420,370,317,Pronti Plan 18000,900,46
A,19000,,918,654,522,443,390,335,Pronti Plan 19000,950,47
A,20000,,966,688,549,466,410,352,Pronti Plan 20000,1000,48
A,21000,,1014,723,577,489,431,370,Pronti Plan 21000,1050,49
A,22000,,1062,757,604,512,451,387,Pronti Plan 22000,1100,50
A,23000,,1111,791,631,536,472,405,Pronti Plan 23000,1150,51
A,24000,,1159,825,659,559,492,422,Pronti Plan 24000,1200,52
A,25000,,1207,860,686,582,513,440,Pronti Plan 25000,1250,53
A,26000,,1255,894,714,605,533,457,Pronti Plan 26000,1300,54
A,27000,,1303,928,741,628,553,475,Pronti Plan 27000,1350,55
A,28000,,1352,963,768,652,574,492,Pronti Plan 28000,1400,56
A,29000,,1400,997,796,675,594,510,Pronti Plan 29000,1450,57
A,30000,,1448,1031,823,698,615,527,Pronti Plan 30000,1500,58
A,31000,,1496,1066,850,721,635,545,Pronti Plan 31000,1550,59
A,32000,,1544,1100,878,744,656,562,Pronti Plan 32000,1600,60
A,33000,,1593,1134,905,768,676,580,Pronti Plan 33000,1650,61
A,34000,,1641,1169,932,791,696,597,Pronti Plan 34000,1700,62
A,35000,,1689,1203,960,814,717,615,Pronti Plan 35000,1750,63